X,Y,sex,name,latitude,longitude,elevation,F6,northing,easting
569126.2949,3988852.8248,male,bob roost 1,36.04176000000,-92.23262000000,0.00000000000,,3988852.82475000015,569126.29484999995
569216.6131,3988937.8406,male,bob roost 2,36.04252000000,-92.23161000000,0.00000000000,,3988937.84059000015,569216.61305699998
569238.112,3988725.0336,male,bob roost 3,36.04060000000,-92.23139000000,0.00000000000,,3988725.03355999989,569238.11203399999
576158.498,3986069.1298,male,burt roost 1,36.01614000000,-92.15483000000,0.00000000000,,3986069.12980000023,576158.49804900005
576227.4512,3986119.6456,male,burt roost 2,36.01659000000,-92.15406000000,0.00000000000,,3986119.64561000001,576227.45116099995
582989.0054,3989182.7347,male,doc roost 1,36.04365000000,-92.07871000000,0.00000000000,,3989182.73466000007,582989.00540400005
582454.122,3989731.227,male,doc roost 2,36.04864000000,-92.08459000000,0.00000000000,,3989731.22695000004,582454.12202899996
569205.5164,3991484.6054,male,doug roost 1,36.06548000000,-92.23151000000,0.00000000000,,3991484.60537000000,569205.51641599997
569115.0147,3991540.4631,male,doug roost 2,36.06599000000,-92.23251000000,0.00000000000,,3991540.46305999998,569115.01472900005
561155.4431,3999416.8079,male,dre roost 1,36.13753000000,-92.32028000000,0.00000000000,,3999416.80788000021,561155.44313899998
569309.8639,3991272.4527,male,eli roost 1,36.06356000000,-92.23037000000,0.00000000000,,3991272.45268000010,569309.86392599996
569259.2716,3991406.2728,male,eli roost 2,36.06477000000,-92.23092000000,0.00000000000,,3991406.27284000022,569259.27155399998
575514.7901,3986308.7157,male,erny roost 1,36.01835000000,-92.16195000000,0.00000000000,,3986308.71570000006,575514.79010900005
575517.4171,3986317.6125,male,erny roost 2,36.01843000000,-92.16192000000,0.00000000000,,3986317.61245999997,575517.41707099997
569137.6699,3991294.3865,male,fred roost 1,36.06377000000,-92.23228000000,0.00000000000,,3991294.38652999979,569137.66986899998
569184.1946,3991219.3243,male,fred roost 2,36.06309000000,-92.23177000000,0.00000000000,,3991219.32426000014,569184.19457199995
569347.5321,3991520.1154,male,gus roost 1,36.06579000000,-92.22993000000,0.00000000000,,3991520.11544999992,569347.53213399998
569275.7046,3991606.0693,male,gus roost 2,36.06657000000,-92.23072000000,0.00000000000,,3991606.06932999985,569275.70460299996
582898.7953,3987765.3094,male,jeb roost 1,36.03088000000,-92.07986000000,0.00000000000,,3987765.30942999991,582898.79532499996
582843.3123,3987629.4512,male,jeb roost 2,36.02966000000,-92.08049000000,0.00000000000,,3987629.45122000016,582843.31233200000
582905.7413,3987697.7081,male,jeb roost 3,36.03027000000,-92.07979000000,0.00000000000,,3987697.70806000009,582905.74131099996
572791.4232,3980984.5702,male,jeff roost 1,35.97056000000,-92.19266000000,0.00000000000,,3980984.57015000004,572791.42316799995
572760.9785,3980958.8053,male,jeff roost 2,35.97033000000,-92.19300000000,0.00000000000,,3980958.80533999996,572760.97850500001
569487.7386,3991329.3246,male,jim roost 1,36.06406000000,-92.22839000000,0.00000000000,,3991329.32463000016,569487.73860299995
569457.3917,3991294.697,male,jim roost 2,36.06375000000,-92.22873000000,0.00000000000,,3991294.69694999978,569457.39165100001
569482.6254,3991292.6785,male,jim roost 3,36.06373000000,-92.22845000000,0.00000000000,,3991292.67853000015,569482.62535400002
559453.8135,3980578.1061,male,jon roost 1,35.96780000000,-92.34061000000,0.00000000000,,3980578.10607999982,559453.81346800004
559481.5418,3981544.4197,male,jon roost 2,35.97651000000,-92.34023000000,0.00000000000,,3981544.41972000012,559481.54180799995
559567.5727,3980423.5861,male,jon roost 3,35.96640000000,-92.33936000000,0.00000000000,,3980423.58612000011,559567.57274099998
560163.2137,3875371.119,male,jon roost 4,35.01920000000,-92.34054000000,0.00000000000,,3875371.11903000018,560163.21369000000
561846.4183,4000441.0747,male,kev roost 1,36.14672000000,-92.31252000000,0.00000000000,,4000441.07469000015,561846.41832199995
561824.7724,4000448.6862,male,kev roost 2,36.14679000000,-92.31276000000,0.00000000000,,4000448.68622000003,561824.77241800004
561864.772,4000390.179,male,kobe roost 1,36.14626000000,-92.31232000000,0.00000000000,,4000390.17900000000,561864.77203500003
569321.595,3991041.8198,male,kyle roost 1,36.06148000000,-92.23026000000,0.00000000000,,3991041.81979000010,569321.59496000002
576643.9647,3988370.662,male,max roost 1,36.03685000000,-92.14922000000,0.00000000000,,3988370.66197999986,576643.96466499998
582490.3367,3989616.2008,male,maxx roost 1,36.04760000000,-92.08420000000,0.00000000000,,3989616.20075999992,582490.33671700000
575997.7529,3986732.1893,male,mike roost 1,36.02213000000,-92.15655000000,0.00000000000,,3986732.18924999982,575997.75290099997
583006.5598,3989231.71,male,opey roost 1,36.04409000000,-92.07851000000,0.00000000000,,3989231.70997000020,583006.55981699994
583041.0613,3989298.5946,male,opey roost 2,36.04469000000,-92.07812000000,0.00000000000,,3989298.59461000003,583041.06129300001
582942.6115,3989325.3951,male,opey roost 3,36.04494000000,-92.07921000000,0.00000000000,,3989325.39508000016,582942.61145400000
561738.6264,4000544.5819,male,pac roost 1,36.14766000000,-92.31371000000,0.00000000000,,4000544.58191999979,561738.62640299997
561728.4501,4000456.879,male,pac roost 2,36.14687000000,-92.31383000000,0.00000000000,,4000456.87898000004,561728.45008600003
583153.2807,3987914.1454,male,pat roost 1,36.03220000000,-92.07702000000,0.00000000000,,3987914.14541999996,583153.28072000004
571770.385,3938528.8416,male,pj roost 1,35.58788000000,-92.20779000000,0.00000000000,,3938528.84155000001,571770.38499699999
578603.1459,3875841.0418,male,rex roost 1,35.02217000000,-92.13839000000,0.00000000000,,3875841.04183000000,578603.14594700001
568845.7401,3990278.2274,male,rick roost 1,36.05463000000,-92.23561000000,0.00000000000,,3990278.22744000005,568845.74008599995
568947.3162,3990304.5389,male,rick roost 2,36.05486000000,-92.23448000000,0.00000000000,,3990304.53885000013,568947.31620000000
559723.6026,3980285.9928,male,rob roost 1,35.96515000000,-92.33764000000,0.00000000000,,3980285.99281999981,559723.60258299997
569369.8841,3991654.5128,male,sam roost 1,36.06700000000,-92.22967000000,0.00000000000,,3991654.51275999984,569369.88410599995
569395.3012,3991629.2011,male,sam roost 2,36.06677000000,-92.22939000000,0.00000000000,,3991629.20110999979,569395.30119999999
578657.7195,3986448.3614,male,teri roost 1,36.01936000000,-92.12706000000,0.00000000000,,3986448.36138000013,578657.71953100001
569578.5217,3991011.6878,male,tod roost 1,36.06119000000,-92.22741000000,0.00000000000,,3991011.68783000018,569578.52170499996
558026.6641,3979721.1349,male,tra roost 1,35.96016000000,-92.35650000000,0.00000000000,,3979721.13487000018,558026.66412900004
571256.8507,3937258.0458,male,tra roost 2,35.57646000000,-92.21357000000,0.00000000000,,3937258.04583000019,571256.85074000002
575727.0361,3986880.7094,male,trev roost 1,36.02349000000,-92.15954000000,0.00000000000,,3986880.70936000021,575727.03612299997
577657.2614,3986773.3426,male,zak roost 1,36.02237000000,-92.13813000000,0.00000000000,,3986773.34261999978,577657.26142700005
577633.2665,3986735.4149,male,zak roost 2,36.02203000000,-92.13840000000,0.00000000000,,3986735.41489000013,577633.26653000002
